time,phase,rst_n,command_valid,command_ready,busy,done,error,error_code,response_valid,response_error,response_result,memory_req_valid,memory_req_ready,memory_req_write,memory_req_addr,memory_req_wstrb,memory_rsp_valid,memory_rsp_ready,stalled_cycle,elements_completed_event
5000,1,0,0,0,x,x,x,x,x,x,xxxxxxxx,0,1,x,xxxxxxxx,X,0,0,x,x
685000,80,1,0,0,1,1,1,5,1,5,0,0,1,0,10004000,0,0,0,0,0
695000,96,0,0,0,0,0,0,0,0,5,0,0,1,0,10004000,0,0,0,0,0
705000,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
715000,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
725000,96,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
735000,96,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
745000,96,1,0,0,1,0,0,0,0,0,0,1,1,0,10004000,0,0,0,0,0
755000,96,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,1,1,0,0
765000,96,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,0,0,0,0
775000,96,1,0,0,1,0,0,0,0,0,0,1,1,1,10006000,3,0,0,0,0
785000,96,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,1,1,0,0
795000,96,1,0,0,1,1,1,5,1,5,0,0,1,0,10004000,0,0,0,0,0
805000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10004000,0,0,0,0,0
815000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10004000,0,0,0,0,0
825000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10004000,0,0,0,0,0
835000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10004000,0,0,0,0,0
